First Name	Last Name	Date of Birth	Identification Number	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance
Mickey	Mouse	"September 19, 1949"	1	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1000	2000	3000	1598.93	4151.51	1785.62
Donald	Duck	"July 7, 1949"	2	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1001	2001	3001	1460.80	3692.45	1131.47
Minnie	Mouse	"April 22, 1947"	3	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1002	2002	3002	1875.19	4230.86	1141.75
Goofy	Disney	"October 20, 1961"	4	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1003	2003	3003	675.99	612.16	809.05
Pluto	Disney	"October 7, 2000"	5	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1004	2004	3004	1566.01	3466.90	134.36
Chip	Disney	"September 15, 1938"	6	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1005	2005	3005	1030.97	1860.03	15.29
Dale	Disney	"September 20, 2001"	7	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1006	2006	3006	25.16	2797.02	236.11
Cinderella	Disney	"March 29, 1943"	8	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1007	2007	3007	867.34	834.18	1422.99
Ariel	Disney	"January 3, 1971"	9	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1008	2008	3008	758.57	3239.19	1846.72
Jasmine	Disney	"September 8, 1960"	10	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1009	2009	3009	150.25	1108.64	887.86
Aladdin	Disney	"August 16, 1989"	11	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1010	2010	3010	1290.05	1511.23	780.50
Simba	Disney	"April 18, 2007"	12	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1011	2011	3011	1622.25	180.29	497.20
Mufassa	Disney	"December 15, 1948"	13	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1012	2012	3012	1808.17	3698.83	128.52
Aurora	Disney	"June 11, 1964"	14	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1013	2013	3013	734.26	2009.90	96.42
Peter	Pan	"May 11, 1999"	15	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1014	2014	3014	1083.47	1508.63	884.59
Woody	Disney	"October 7, 1953"	16	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1015	2015	3015	1281.87	869.50	100.84
Buzz	Lightyear	"November 14, 1964"	17	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1016	2016	3016	965.07	736.34	674.25
